Food,Weight,Weight by 100
"Almond drink, plain",250,2.5
"Apple, fresh",100,1
"Beef ragout with sauce, prepared",500,5
"Beef, entrcôte, steak, pan fried ""medium"" (without addition of fat and salt)",200,2
"Beer, lager",330,3.3
"Bell pepper, red, stewed (without addition of fat and salt)",50,0.5
"Bread for toasting, white, made with butter",100,1
"Broccoli, steamed (without addition of salt)",200,2
"Carrot, steamed (without addition of salt)",250,2.5
Cheeseburger,200,2
"Cereal bar, with chocolate coating",50,0.5
Chia seed,30,0.3
"Chicken, brest (schnitzel, ground), pan fried (without addition of fat and salt)",100,1
"Chocolate, dark",50,0.5
Cinnamon,50,0.5
"Coffee with coffee cream, no sugar added",250,2.5
Cooked sausages (average),100,1
Cornflakes,100,1
"Eggplant slices, breaded, prepared",50,0.5
"Egg yolk, raw",50,0.5
"French omelette with bacon, prepared",150,1.5
"Green pea, steamed (without addition of salt)",40,0.4
"Ice Tea, sweetened",100,1
"Mango, dried",100,1
Milk chocolate,40,0.4
"Mushroom, stewed (without addition of fat and salt)",50,0.5
"Mushroom risotto, prepared",150,1.5
Olive oil,50,0.5
Paprika (spice),10,0.1
"Pasta with egg, cooked in salted water (uniodised)",70,0.7
"Pizza with ham and mushrooms, baked",100,1
"Salad dressing italian style, home-made (with olive oil)",7,0.07
Sandwich (brown bread) with ham,80,0.8
"Sugar, white",10,0.1
"Salt, sea salt, fleur de sel",50,0.5
Tomato sauce,40,0.4
Yoghurt with added sugar (average),80,0.8
"Zucchini, steamed (without addition of salt)",50,0.5